zcta,year,month,desc_crime_type,count,population,city,rate
78703,2017,Jan,burglary,18.96111325539382,20788,austin,91.21182054740149
78703,2017,Jan,drugs,3.0109096996511218,20788,austin,14.483883488797007
78703,2017,Jan,other,77.65049579911383,20788,austin,373.5351924144402
78703,2017,Jan,robbery,0.006228146211914311,20788,austin,0.02996029542002266
78703,2017,Jan,sex crimes,2.0205019153170944,20788,austin,9.719558953805535
78703,2017,Jan,theft,26.182747058224084,20788,austin,125.95125581212278
78703,2017,Jan,weapon,0.0010560133560450062,20788,austin,0.005079918010607111
78703,2017,Feb,assault,4.978083572505702,20788,austin,23.94690962336782
78703,2017,Feb,burglary,15.147798220166058,20788,austin,72.86799220784134
78703,2017,Feb,drugs,4.965082264591936,20788,austin,23.88436725318422
78703,2017,Feb,other,82.70284479586361,20788,austin,397.83935345325966
78703,2017,Feb,robbery,0.586314191720643,20788,austin,2.8204454094700933
78703,2017,Feb,sex crimes,1.0228535052517915,20788,austin,4.920403623493321
78703,2017,Feb,theft,19.20882927371435,20788,austin,92.40345042194704
78703,2017,Feb,weapon,0.018499140376771483,20788,austin,0.08898951499312817
78703,2017,Mar,arson,0.006228146211914311,20788,austin,0.02996029542002266
78703,2017,Mar,assault,2.970706816331958,20788,austin,14.290488822070222
78703,2017,Mar,burglary,37.07102083127609,20788,austin,178.3289437717726
78703,2017,Mar,drugs,2.0049971046000024,20788,austin,9.644973564556485
78703,2017,Mar,other,71.55223514635672,20788,austin,344.199707265522
78703,2017,Mar,robbery,0.9941161551912028,20788,austin,4.78216353276507
78703,2017,Mar,sex crimes,2.003687894386633,20788,austin,9.638675651273008
78703,2017,Mar,theft,31.85779878352856,20788,austin,153.25090813704327
78703,2017,Mar,weapon,0.003613381616375376,20788,austin,0.0173820551105223
78703,2017,Apr,assault,4.653078125746598,20788,austin,22.383481459238972
78703,2017,Apr,burglary,19.025614407696636,20788,austin,91.52210124926225
78703,2017,Apr,drugs,3.1662293059578026,20788,austin,15.231043419077364
78703,2017,Apr,other,63.76315981800822,20788,austin,306.7306129401973
78703,2017,Apr,robbery,1.1538560979619503,20788,austin,5.550587348287235
78703,2017,Apr,sex crimes,0.1124905155997761,20788,austin,0.5411319780631908
78703,2017,Apr,theft,16.025504171541115,20788,austin,77.09016822946467
78703,2017,Apr,weapon,0.018915198805796795,20788,austin,0.0909909505762786
78703,2017,May,assault,6.43328204442839,20788,austin,30.94709469130455
78703,2017,May,burglary,18.037076476265796,20788,austin,86.76677158103615
